epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,3920.01,0.66454,0.74736,0.00212,0.79052,0.72424,0.81427,0.67955,0.67542,0.7701,0.00393,4.357e-05,4.357e-05,4.357e-05
116,3954.02,0.67633,0.81638,0.00217,0.7825,0.73286,0.814,0.67474,0.6726,0.77952,0.00391,4.3075e-05,4.3075e-05,4.3075e-05
117,3987.94,0.67612,0.76278,0.00209,0.78559,0.75468,0.8145,0.67842,0.67583,0.75451,0.00398,4.258e-05,4.258e-05,4.258e-05
118,4021.91,0.66206,0.7642,0.00213,0.78439,0.74537,0.81776,0.68211,0.67756,0.72856,0.00403,4.2085e-05,4.2085e-05,4.2085e-05
119,4056.38,0.66529,0.72647,0.00218,0.76799,0.75975,0.81808,0.67909,0.68147,0.73778,0.00401,4.159e-05,4.159e-05,4.159e-05
120,4090.38,0.67979,0.75745,0.00209,0.79276,0.7453,0.81852,0.68031,0.67107,0.73261,0.00393,4.1095e-05,4.1095e-05,4.1095e-05
121,4124.36,0.66237,0.78729,0.00206,0.76746,0.75201,0.81954,0.67816,0.66971,0.73706,0.00389,4.06e-05,4.06e-05,4.06e-05
122,4158.39,0.6635,0.74349,0.00212,0.78229,0.75356,0.82038,0.68133,0.66883,0.74008,0.0039,4.0105e-05,4.0105e-05,4.0105e-05
123,4192.33,0.65139,0.77022,0.002,0.79069,0.75247,0.81579,0.67819,0.66536,0.75055,0.00385,3.961e-05,3.961e-05,3.961e-05
124,4226.28,0.68076,0.75791,0.00211,0.79253,0.72404,0.81703,0.67536,0.66979,0.75079,0.0039,3.9115e-05,3.9115e-05,3.9115e-05
125,4260.27,0.64643,0.75875,0.00214,0.75933,0.7621,0.81584,0.67515,0.67158,0.74407,0.00393,3.862e-05,3.862e-05,3.862e-05
126,4294.38,0.66018,0.77201,0.0021,0.79772,0.7359,0.81783,0.68207,0.67117,0.73884,0.00396,3.8125e-05,3.8125e-05,3.8125e-05
127,4328.37,0.66457,0.74957,0.00203,0.80088,0.74169,0.819,0.68315,0.67404,0.74599,0.00396,3.763e-05,3.763e-05,3.763e-05
128,4362.41,0.66109,0.75116,0.00215,0.79442,0.75086,0.82136,0.68576,0.66449,0.73986,0.00388,3.7135e-05,3.7135e-05,3.7135e-05
129,4396.46,0.66989,0.76941,0.00212,0.81163,0.73362,0.82089,0.6829,0.66919,0.74757,0.00389,3.664e-05,3.664e-05,3.664e-05
130,4430.52,0.6497,0.72991,0.00211,0.80104,0.72361,0.81881,0.68368,0.66502,0.76279,0.00385,3.6145e-05,3.6145e-05,3.6145e-05
131,4464.58,0.63764,0.73478,0.00214,0.7769,0.73557,0.81812,0.68404,0.65736,0.76615,0.00381,3.565e-05,3.565e-05,3.565e-05
132,4498.62,0.65436,0.77297,0.00204,0.77424,0.7516,0.81797,0.67975,0.66448,0.75062,0.00388,3.5155e-05,3.5155e-05,3.5155e-05
133,4532.61,0.65711,0.73618,0.0021,0.79352,0.73322,0.81548,0.67982,0.66657,0.76054,0.00381,3.466e-05,3.466e-05,3.466e-05
134,4566.51,0.65151,0.77499,0.00209,0.78243,0.7446,0.81669,0.67906,0.65923,0.75621,0.0038,3.4165e-05,3.4165e-05,3.4165e-05
135,4600.44,0.64388,0.72176,0.00207,0.784,0.75701,0.81616,0.68028,0.65683,0.75417,0.00381,3.367e-05,3.367e-05,3.367e-05
136,4634.38,0.65047,0.74294,0.00214,0.7762,0.74694,0.81538,0.68,0.64893,0.77477,0.00372,3.3175e-05,3.3175e-05,3.3175e-05
137,4668.36,0.65509,0.75707,0.00211,0.7855,0.74187,0.81462,0.67759,0.65933,0.75727,0.00386,3.268e-05,3.268e-05,3.268e-05
138,4702.4,0.63588,0.73267,0.00196,0.78972,0.7414,0.81762,0.68144,0.65135,0.76982,0.0038,3.2185e-05,3.2185e-05,3.2185e-05
139,4736.43,0.65397,0.75121,0.00199,0.8112,0.73483,0.8204,0.68442,0.64785,0.76805,0.00376,3.169e-05,3.169e-05,3.169e-05
140,4770.43,0.61914,0.72288,0.00196,0.78057,0.75883,0.81867,0.68268,0.64586,0.7832,0.00374,3.1195e-05,3.1195e-05,3.1195e-05
141,4804.36,0.63526,0.72773,0.00209,0.75776,0.77558,0.82228,0.68231,0.65926,0.76676,0.00381,3.07e-05,3.07e-05,3.07e-05
142,4838.35,0.63474,0.73563,0.00199,0.76863,0.76556,0.82023,0.68319,0.65407,0.75973,0.00381,3.0205e-05,3.0205e-05,3.0205e-05
143,4872.35,0.65968,0.70565,0.00202,0.75287,0.76589,0.81998,0.68578,0.65665,0.75882,0.00383,2.971e-05,2.971e-05,2.971e-05
144,4906.33,0.63073,0.73863,0.00198,0.80016,0.70803,0.82034,0.68753,0.65413,0.75946,0.00385,2.9215e-05,2.9215e-05,2.9215e-05
145,4940.32,0.65484,0.73677,0.00198,0.7912,0.72401,0.82065,0.68701,0.66125,0.74958,0.00389,2.872e-05,2.872e-05,2.872e-05
146,4974.31,0.66223,0.69852,0.00209,0.78561,0.73355,0.82017,0.68361,0.66075,0.76045,0.0038,2.8225e-05,2.8225e-05,2.8225e-05
147,5008.26,0.63488,0.69208,0.00199,0.78982,0.73283,0.81901,0.68623,0.6562,0.75969,0.00383,2.773e-05,2.773e-05,2.773e-05
148,5042.23,0.65949,0.7489,0.0021,0.79879,0.72516,0.81742,0.68338,0.65028,0.77234,0.00382,2.7235e-05,2.7235e-05,2.7235e-05
