epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,5719.13,0.5111,0.28097,0.00155,0.92751,0.8714,0.92597,0.75325,0.70559,0.51148,0.00437,0.0002674,0.0002674,0.0002674
150,5752.44,0.51486,0.28141,0.00159,0.92611,0.86484,0.92322,0.74782,0.68996,0.50062,0.00434,0.00026245,0.00026245,0.00026245
151,5785.76,0.52267,0.3173,0.00155,0.88849,0.90055,0.91691,0.74508,0.69621,0.52734,0.00437,0.0002575,0.0002575,0.0002575
152,5819.06,0.5111,0.2813,0.0016,0.925,0.87369,0.92364,0.74902,0.69838,0.50621,0.00434,0.00025255,0.00025255,0.00025255
153,5852.33,0.5396,0.30223,0.00152,0.89611,0.89919,0.92662,0.75213,0.68794,0.51031,0.00427,0.0002476,0.0002476,0.0002476
154,5885.61,0.51186,0.29341,0.00152,0.89351,0.87431,0.91661,0.7468,0.69151,0.53606,0.00424,0.00024265,0.00024265,0.00024265
155,5918.92,0.5141,0.29345,0.00158,0.90123,0.87296,0.9209,0.75132,0.6838,0.51026,0.00421,0.0002377,0.0002377,0.0002377
156,5952.21,0.50655,0.27439,0.00149,0.89226,0.87782,0.91829,0.747,0.68627,0.52115,0.00424,0.00023275,0.00023275,0.00023275
157,5985.49,0.5279,0.29141,0.00155,0.90309,0.84782,0.91476,0.74653,0.68022,0.53336,0.00423,0.0002278,0.0002278,0.0002278
158,6018.76,0.50177,0.28502,0.00145,0.91756,0.86111,0.92048,0.74845,0.68335,0.52561,0.00427,0.00022285,0.00022285,0.00022285
159,6052.03,0.50081,0.28508,0.00145,0.92988,0.8659,0.92513,0.75415,0.68321,0.53057,0.00423,0.0002179,0.0002179,0.0002179
160,6085.3,0.51238,0.27229,0.00143,0.90257,0.86997,0.92097,0.755,0.68081,0.52073,0.00423,0.00021295,0.00021295,0.00021295
161,6118.61,0.49856,0.27139,0.00148,0.94343,0.84963,0.92941,0.7565,0.68382,0.49415,0.00423,0.000208,0.000208,0.000208
162,6151.96,0.51734,0.29294,0.00159,0.92198,0.87468,0.93017,0.75613,0.68849,0.49681,0.00425,0.00020305,0.00020305,0.00020305
163,6185.25,0.5018,0.27758,0.00149,0.94617,0.83809,0.92924,0.75371,0.69149,0.50432,0.00425,0.0001981,0.0001981,0.0001981
164,6218.55,0.50028,0.29065,0.00147,0.92344,0.84407,0.92426,0.75201,0.69871,0.51691,0.00425,0.00019315,0.00019315,0.00019315
165,6251.82,0.48017,0.25755,0.00146,0.9445,0.84199,0.92618,0.75436,0.69222,0.5045,0.00426,0.0001882,0.0001882,0.0001882
166,6285.14,0.49136,0.25972,0.00143,0.87026,0.89071,0.92534,0.75192,0.70383,0.51697,0.00432,0.00018325,0.00018325,0.00018325
167,6318.4,0.49733,0.27929,0.00141,0.87892,0.89331,0.92631,0.75251,0.69639,0.51597,0.00427,0.0001783,0.0001783,0.0001783
168,6351.7,0.4975,0.28987,0.00146,0.91578,0.86999,0.9259,0.75367,0.6888,0.5251,0.00418,0.00017335,0.00017335,0.00017335
